treat,age,education,black,hispanic,married,nodegree,re75,re78
1,27,10,1,0,1,1,0.0,18739.93
0,18,11,1,0,0,1,0.0,11303.14
0,26,11,1,0,0,1,1174.991,6672.021
1,21,12,0,0,0,0,334.0494,12558.02
0,19,9,1,0,0,1,2642.067,2652.625
0,54,11,1,0,0,1,0.0,7812.522
1,22,10,1,0,0,1,653.9542,11134.98
1,21,11,1,0,0,1,2158.585,0.0
1,18,8,0,1,1,1,0.0,2787.96
0,19,11,1,0,0,1,2445.589,9772.283
0,22,9,1,0,0,1,0.0,0.0
1,18,8,1,0,0,1,0.0,0.0
1,32,10,1,0,0,1,2321.537,179.0217
0,27,12,0,0,0,0,0.0,14792.9
0,18,9,0,1,0,1,1646.51,1065.672
0,21,11,1,0,0,1,0.0,1553.291
1,18,8,1,0,0,1,1199.641,0.0
1,27,13,1,0,0,0,0.0,0.0
0,23,11,1,0,0,1,1896.023,5573.547
0,20,9,1,0,0,1,2483.852,0.0
0,19,9,1,0,0,1,1537.929,4188.736
1,18,9,1,0,0,1,1285.33,15369.48
0,18,11,1,0,0,1,0.0,11303.14
1,19,10,1,0,0,1,385.2741,8124.715
0,18,9,0,1,0,1,2684.91,2978.669
0,31,12,0,0,0,0,494.643,0.0
0,22,7,1,0,0,1,13503.77,11607.09
1,19,11,1,0,0,1,1927.995,11965.81
1,17,8,1,0,0,1,0.0,0.0
1,26,12,1,0,0,0,1088.907,11460.56
1,24,15,1,0,0,0,13008.5,14683.63
1,18,10,1,0,1,1,1958.096,10989.93
0,19,9,1,0,0,1,902.4565,1914.414
1,22,9,1,0,0,1,0.0,4056.494
0,22,11,1,0,0,1,875.2615,9139.652
1,33,12,0,0,1,0,0.0,12418.07
0,22,12,1,0,0,0,2158.05,0.0
0,45,9,1,0,0,1,0.0,4844.803
1,27,10,1,0,1,1,0.0,18739.93
0,18,10,1,0,0,1,0.0,202.2847
0,22,11,1,0,0,1,875.2615,9139.652
0,27,12,0,0,0,0,0.0,14792.9
0,19,11,1,0,0,1,3285.68,11195.93
0,23,11,1,0,0,1,0.0,5088.76
1,21,12,1,0,0,0,807.9511,4350.907
0,36,10,1,0,0,1,0.0,0.0
0,17,8,0,0,0,1,0.0,10210.99
0,19,10,0,1,0,1,2275.368,4335.159
1,23,10,1,0,0,1,15709.56,5665.066
0,36,10,1,0,0,1,0.0,14690.35
0,17,10,1,0,0,1,0.0,1143.387
1,26,11,1,0,0,1,0.0,17230.96
0,18,10,1,0,0,1,0.0,11048.08
0,55,3,1,0,0,1,0.0,5843.796
0,21,10,1,0,1,1,1785.18,6831.106
0,23,12,0,1,0,0,8960.684,7078.178
0,31,13,1,0,0,0,10393.61,7404.762
0,31,8,1,0,0,1,4577.68,6153.83
1,19,11,1,0,0,1,6409.027,11648.7
0,25,7,0,1,0,1,1177.118,9722.349
0,19,11,1,0,0,1,0.0,0.0
1,23,7,0,0,0,1,0.0,0.0
0,27,9,0,1,0,1,1596.762,6723.414
0,30,11,1,0,1,1,9311.938,3982.801
0,23,10,1,0,0,1,0.0,0.0
1,29,13,1,0,0,0,0.0,7479.656
0,17,8,1,0,0,1,0.0,7010.444
1,26,11,1,0,1,1,2754.646,26372.28
0,27,11,1,0,1,1,20035.26,9074.764
0,31,10,1,0,0,1,520.4463,14527.88
0,17,10,0,1,0,1,1734.559,6354.194
0,30,13,1,0,0,0,5569.761,0.0
0,19,10,0,0,0,1,0.0,3194.01
1,25,8,1,0,0,1,0.0,0.0
1,21,8,1,0,0,1,3695.897,4279.613
0,26,10,1,0,0,1,0.0,3931.238
1,27,11,1,0,0,1,2483.852,0.0
0,17,9,1,0,0,1,0.0,0.0
0,25,12,1,0,1,0,0.0,0.0
0,17,9,0,1,0,1,0.0,5114.814
1,19,11,1,0,0,1,10224.37,11293.81
1,29,11,1,0,1,1,0.0,9642.999
0,26,8,0,0,1,1,36941.27,30247.5
0,31,8,1,0,0,1,4577.68,6153.83
0,22,9,1,0,0,1,0.0,0.0
0,26,8,0,0,1,1,36941.27,30247.5
1,42,14,1,0,0,0,0.0,20505.93
0,36,11,1,0,0,1,7311.561,0.0
0,25,11,1,0,0,1,0.0,0.0
0,33,5,0,1,0,1,0.0,0.0
1,23,11,1,0,0,1,8959.589,1659.5
0,20,10,1,0,0,1,825.2301,0.0
1,22,11,0,0,0,1,0.0,1048.432
1,25,12,0,0,0,0,0.0,5587.503
0,19,10,0,1,0,1,2275.368,4335.159
0,20,11,0,0,0,1,1177.118,8743.071
0,28,12,0,0,0,0,803.343,16477.02
1,23,10,1,0,0,1,0.0,7693.4
1,23,12,0,0,0,0,3903.195,796.5597
0,24,10,1,0,0,1,1307.908,0.0
0,20,10,1,0,0,1,3677.588,557.7499
0,21,9,0,0,0,1,1577.167,1740.199
1,27,10,1,0,0,1,3213.322,2094.119
0,19,11,1,0,0,1,0.0,0.0
0,28,10,1,0,0,1,367.8234,4858.895
1,23,8,0,0,1,1,1713.15,4232.309
0,19,10,1,0,1,1,0.0,12797.67
0,33,11,1,0,0,1,2899.82,18859.89
0,31,10,1,0,0,1,0.0,17014.59
0,27,12,0,0,0,0,5035.444,0.0
0,25,11,1,0,0,1,0.0,4196.375
1,20,12,1,0,0,0,9227.559,0.0
0,39,6,1,0,0,1,0.0,0.0
0,22,11,1,0,1,1,0.0,1698.304
1,41,14,0,0,0,0,0.0,5149.501
1,27,10,1,0,0,1,3550.075,0.0
0,18,9,1,0,0,1,2138.094,5767.704
1,28,11,1,0,0,1,6871.856,0.0
1,21,12,0,0,0,0,7390.634,3557.934
0,30,8,1,0,0,1,1706.657,0.0
1,27,9,1,0,0,1,2294.605,2018.556
1,27,12,1,0,1,0,334.0493,0.0
0,29,12,1,0,0,0,0.0,1890.937
